方案类型,ω1,ω2,ω3,ω4,ω5,ω6,ω7,ω8,ω9,ω10,I_lx,D_relic,F,Rf,Rg,CCT_K,Duv
保护优先,0.0950318024585,0.0113507966224,0.0112986929599,0.207384099964,0.132680941244,0.00613440956688,0.0098799166975,0.406181904158,0.0486835334705,0.0713739028585,1.04494569098,0.131539418145,5.73514197114,76.4429156013,120.302486539,3294.19472109,0.000402801457768
展示优先,0.0748571936839,0.00836336061987,0.0858150998803,0.186950344567,0.104678590776,0.00388240062726,0.0409902657747,0.376724269632,0.0522504111191,0.0654880633201,298.719928933,1.24067909762,10.8715916083,70.6641963732,112.881384925,3383.9423171,0.00538495366926
综合折中,0.0806473521959,0.0113214655322,0.0112728716943,0.203512847223,0.113214032621,0.00423080397955,0.0440444225493,0.410311575185,0.0463754425344,0.075069186486,128.599951252,0.759805636568,7.93736449056,74.5052746201,120.584995941,2939.73931202,-0.00217087733634
