Wavelength_nm,保护优先,展示优先,综合折中,D55
380,2.88125085503e-10,2.43102413937e-10,2.40513689911e-10,0.0
381,5.24410033703e-10,4.42465274323e-10,4.37753596681e-10,0.0
382,9.4603614691e-10,7.98207730604e-10,7.8970786262e-10,0.00153091530648
383,1.69157510822e-09,1.42724813561e-09,1.41204981568e-09,0.00297015242985
384,2.99793117626e-09,2.5294718845e-09,2.50253633931e-09,0.00332674594036
385,5.26621819107e-09,4.44331442219e-09,4.39599899796e-09,0.00306649841362
386,9.16901867854e-09,7.7362599461e-09,7.65387905625e-09,0.00258161993433
387,1.58231769381e-08,1.33506336932e-08,1.32084672878e-08,0.00206490644392
388,2.70652055992e-08,2.28359732223e-08,2.25928008455e-08,0.00219612574961
389,4.588553463e-08,3.8715421281e-08,3.83031546005e-08,0.00271031655835
390,7.71058061676e-08,6.50571859267e-08,6.43644161101e-08,0.00332178979446
391,1.28423703343e-07,1.08356103427e-07,1.07202261319e-07,0.00395916847615
392,2.12006960171e-07,1.78878566652e-07,1.76973761778e-07,0.0041245650044
393,3.46898060824e-07,2.92691463699e-07,2.89574718788e-07,0.00411431891057
394,5.62600935962e-07,4.74688413448e-07,4.69633675482e-07,0.00432056005152
395,9.0436939221e-07,7.63051819543e-07,7.54926459425e-07,0.00491512828441
396,1.44091409577e-06,1.21575555234e-06,1.2028096262e-06,0.00571950228392
397,2.27550165716e-06,1.91992967786e-06,1.8994854784e-06,0.00717718587026
398,3.56174692061e-06,3.0051850247e-06,2.97318476499e-06,0.00988089474292
399,5.52580808997e-06,4.66234007008e-06,4.61269418909e-06,0.0142127718364
400,8.49719103112e-06,7.16941171729e-06,7.09307048508e-06,0.0207907695045
401,1.29509556326e-05,1.09272264225e-05,1.08108724506e-05,0.0298390297002
402,1.95647861533e-05,1.65075726264e-05,1.6331800819e-05,0.0414227740822
403,2.92951185332e-05,2.47174322535e-05,2.44542461186e-05,0.0557736666829
404,4.34772721914e-05,3.66834656732e-05,3.62928745545e-05,0.0733982887105
405,6.3955250323e-05,5.39615290313e-05,5.33869800791e-05,0.0943764812668
406,9.32474617208e-05,7.86764998106e-05,7.78388225665e-05,0.118526466082
407,0.000134754957821,0.000113697973879,0.000112487456481,0.145892630685
408,0.000193018717239,0.000162857345403,0.000161123503301,0.178741051175
409,0.000274031862074,0.000231211234168,0.000228749780269,0.216187125051
410,0.000385611247527,0.000325355007466,0.000321891494063,0.254534344983
411,0.000537830410718,0.000453788071547,0.000448957658565,0.29220634041
412,0.000743512188029,0.000627329505356,0.000620652327637,0.32604337937
