solution_id,ω1,ω2,ω3,ω4,ω5,ω6,ω7,ω8,ω9,ω10,I_lx,D_relic,F,Rf,Rg,CCT_K,Duv
0,0.0794686860578,0.00954670450343,0.0119671234802,0.184169813075,0.118831919573,0.00234078095984,0.0466002104322,0.412262751254,0.0593295267509,0.0754824839132,298.265688763,1.07958243163,10.8166927521,75.0025465113,121.739777954,2776.64429292,-0.00466557014191
1,0.0810480236181,0.00321665084463,0.0402210629144,0.185814993782,0.125907171621,0.00831653474004,0.0090157346307,0.419723813337,0.0478639024293,0.0788721120831,49.8746012196,0.504167498921,6.59019969696,74.6297366467,118.345666405,3112.80073774,0.00141660135734
2,0.0816678490451,0.00970153866511,0.08477673197,0.1690891291,0.110793749378,0.00773861454788,0.0165798575356,0.397091443332,0.0470639042333,0.0754971821928,128.840002511,0.812265830261,7.98698387177,70.9958520198,115.877771142,3319.11219864,0.00105196325142
3,0.0886980722846,0.00885046219998,0.0040302724785,0.171208542521,0.157296705522,0.00807580665775,0.00925880782433,0.419558828276,0.0503694325731,0.0826530696634,50.6442298242,0.501061962148,6.52878293317,79.3469939178,120.243307588,2928.61261468,-0.0032772289443
4,0.0748571936839,0.00836336061987,0.0858150998803,0.186950344567,0.104678590776,0.00388240062726,0.0409902657747,0.376724269632,0.0522504111191,0.0654880633201,298.719928933,1.24067909762,10.8715916083,70.6641963732,112.881384925,3383.9423171,0.00538495366926
5,0.0836551992767,0.0116580108883,0.0115770458762,0.209004203419,0.116560540803,0.00479867708497,0.00828821791344,0.418377938314,0.0476156524382,0.0884645139855,298.719928933,1.08971690066,10.8484096604,73.429337866,120.823204084,3171.99614208,0.0003571463374
6,0.0747992964705,0.00330688399914,0.00317601633438,0.201601375838,0.122259543385,0.00786789607909,0.0435501457431,0.418526904105,0.0551788222254,0.0697331158205,115.958698122,0.70081323104,7.70188384793,75.6370885984,120.138828673,2811.09198029,-0.000274962883695
7,0.0806473521959,0.0113214655322,0.0112728716943,0.203512847223,0.113214032621,0.00423080397955,0.0440444225493,0.410311575185,0.0463754425344,0.075069186486,128.599951252,0.759805636568,7.93736449056,74.5052746201,120.584995941,2939.73931202,-0.00217087733634
8,0.0782120710828,0.00226372650625,0.092948612598,0.148716117092,0.0989578251149,0.0187476202013,0.0461725141847,0.396447255177,0.0544837941209,0.0630504639223,8.14472015347,0.266162430283,5.94982652683,70.1757730366,116.118141948,2885.02310448,-0.0042083644807
9,0.0869840168581,0.0033576327148,0.00322054156841,0.198557580251,0.126040300612,0.00347188648601,0.00841046699265,0.445432643633,0.0331747262563,0.091350204628,194.178459555,0.834344978312,9.07830115925,73.4309250804,123.197691063,2930.11443154,-0.00245801911001
10,0.0963273340797,0.0036097714041,0.00685954540806,0.193031929677,0.145133234175,0.0073427671596,0.00728965850164,0.450106669724,0.0329068930836,0.0573921967875,113.251139225,0.667514230873,7.65156568234,76.2352540249,122.098544649,2968.31581442,-0.00316609189624
11,0.0795651894729,0.00957987000662,0.0119816558494,0.184384447216,0.118890557884,0.00253199342845,0.0466567997591,0.411433765709,0.0594015740218,0.0755741466529,298.676818137,1.0827420857,10.8223809717,75.0680581296,121.67735053,2781.49036932,-0.00460650396008
12,0.0790216189344,0.00252421721828,0.0129143560009,0.184172785989,0.112487909979,0.00682185396367,0.0454865891175,0.420883054981,0.0510848656543,0.0846027481614,17.1567830404,0.319604007848,6.0640818002,73.6093957583,122.592072135,2699.72050529,-0.00453414159154
13,0.0811045982569,0.00962542090558,0.0762007449349,0.167722168595,0.109961749887,0.0202451160101,0.00709525362243,0.393735935647,0.0594041768494,0.0749048352922,56.010068197,0.572782991413,6.72598735825,72.3448120991,115.892668193,3252.55097719,0.000233802445589
